StartDate,EndDate,IPAddress,Duration (in seconds),RecordedDate,ResponseId,LocationLatitude,LocationLongitude,UserLanguage,TAI_1,TAI_2,TAI_3,TAI_4,TAI_5,TAI_6,TAI_7,TAI_8,TAI_9,TAI_10,TAI_11,TAI_12,TAI_13,TAI_14,TAI_15,TAI_16,TAI_17,TAI_18,TAI_19,TAI_20,TAI_TOTAL,PANAS_P1,PANAS_N2,PANAS_P3,PANAS_N4,PANAS_P5,PANAS_N6,PANAS_N7,PANAS_N8,PANAS_P9,PANAS_P10,PANAS_N11,PANAS_P12,PANAS_N13,PANAS_P14,PANAS_N15,PANAS_P16,PANAS_P17,PANAS_N18,PANAS_P19,PANAS_N20,PANAS_P_TOTAL,PANAS_N_TOTAL,Setting,Setting_5_TEXT,Setting_Home,Setting_Home_4_TEXT,Setting_People,Setting_Interacting,Age,Occupation,Income,Income_Household,Rel_Status,Gender,Gender_15_TEXT,Research,MTurkCode,Group
5/3/18 15:05,5/3/18 15:07,72.14.111.11,128,5/3/18 15:07,R_aYw94nzHm7mvomB,36.63549805,-88.28299713,EN,4,4,4,2,3,3,4,2,4,4,3,4,4,4,4,3,3,2,3,3,67,3,4,1,1,1,1,2,2,1,1,2,4,2,1,4,3,4,3,2,2,21,23,1,,3,,1,2,36,freelancer,1,1,1,1,,2,50690761,Mturk
5/3/18 15:07,5/3/18 15:13,8.28.180.9,365,5/3/18 15:13,R_3rIC7e7vyhK93eB,41.88760376,-87.63680267,EN,3,3,3,2,2,3,2,3,3,3,2,2,3,3,3,2,2,2,3,3,52,1,3,2,2,2,3,1,3,2,3,3,3,2,3,1,2,3,2,2,1,23,21,2,,4,n/a,6,2,35,IT,10,3,2,2,,1,45075388,Mturk
5/3/18 15:29,5/3/18 15:31,24.158.191.7,128,5/3/18 15:31,R_25uxwcyHlcEyQfK,34.8914032,-85.12069702,EN,1,2,2,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,1,2,26,4,2,1,2,4,1,1,1,3,4,1,5,1,3,2,4,5,1,4,1,37,13,1,,1,,1,2,32,PHYSICAL THERAPIST ASST,5,4,3,2,,2,78958397,Mturk
5/3/18 15:39,5/3/18 15:40,96.86.36.141,73,5/3/18 15:40,R_2bVkRIE3elhynWJ,38.87489319,-77.03250122,EN,4,3,4,3,4,4,4,4,2,4,4,4,4,4,4,4,3,4,4,4,75,2,2,1,4,4,4,3,5,1,1,4,5,5,1,3,5,5,5,5,1,30,36,2,,1,,1,2,24,manager,5,1,1,2,,2,95956481,Mturk
5/3/18 17:48,5/3/18 17:51,136.62.67.162,152,5/3/18 17:51,R_3HUEqHF0mSphNOQ,30.20579529,-97.80020142,EN,3,4,4,4,3,4,4,2,3,3,2,4,3,4,3,3,4,3,3,3,66,2,2,2,2,1,1,1,1,1,2,3,1,1,1,3,1,3,1,1,2,15,17,1,,2,,2,2,32,Homemaker,4,6,3,2,,2,36272357,Mturk
5/3/18 17:48,5/3/18 17:51,128.30.32.223,156,5/3/18 17:51,R_1BWwGXtaqZ7plnA,42.36459351,-71.10279846,EN,2,2,1,2,1,3,3,2,2,2,1,1,2,1,1,2,2,1,2,2,35,2,1,2,1,4,1,1,1,2,4,3,4,1,3,1,3,3,1,2,1,29,12,2,,5,,1,2,61,administrative assistant,5,1,1,2,,2,41184937,Mturk
5/3/18 17:49,5/3/18 17:51,138.128.93.5,159,5/3/18 17:51,R_1N1QWe5z9UbfyXH,30.290802,-81.63300323,EN,2,3,3,3,3,3,4,2,2,2,3,3,2,3,3,2,2,3,3,3,54,4,3,3,4,5,4,4,2,4,4,3,3,3,3,2,3,4,3,2,4,35,32,1,,3,,5,1,66,manager,2,29000,3,1,,1,23361230,Mturk
5/3/18 17:49,5/3/18 17:52,66.213.15.240,177,5/3/18 17:52,R_dcIPDdN7xvidTEZ,41.65020752,-81.45330048,EN,2,2,3,3,2,1,2,3,4,2,4,1,4,3,3,3,4,3,3,3,55,5,2,4,3,4,1,2,1,5,5,1,5,1,5,2,5,5,2,5,3,48,18,3,,5,,4,2,60,Retail sales,2,1,1,1,,2,61429468,Mturk
5/3/18 17:48,5/3/18 17:52,172.2.180.75,205,5/3/18 17:52,R_xnrOqONciBbotS9,34.68389893,-82.81169891,EN,3,4,4,4,4,4,3,4,4,3,1,4,3,4,4,3,4,4,3,4,71,3,4,2,3,2,1,1,1,1,1,3,3,4,2,4,3,4,1,1,1,22,23,1,,1,,1,2,47,Unemployed,4,1,1,2,,2,31146130,Mturk
5/3/18 17:49,5/3/18 17:52,108.195.13.160,173,5/3/18 17:52,R_2CV7EOvD2E2704S,25.92660522,-80.14430237,EN,3,3,3,4,4,4,4,4,4,3,1,3,4,3,4,3,3,3,3,4,67,4,5,1,4,4,2,2,5,1,1,5,4,4,2,2,5,4,3,5,3,31,35,1,,3,,1,2,28,Retail,2,3,2,2,,2,3308718,Mturk
5/3/18 17:49,5/3/18 17:52,70.185.192.204,201,5/3/18 17:52,R_udLe4M2G2OOJjWh,36.09710693,-95.96269989,EN,2,4,4,4,3,4,4,2,3,3,1,4,3,4,3,3,3,3,3,3,63,2,2,1,1,1,1,2,1,1,1,2,1,1,1,3,1,1,1,1,2,11,16,1,,1,,1,2,26,Homemaker,6,2,3,2,,2,2656904,Mturk
5/3/18 17:49,5/3/18 17:52,76.117.182.123,190,5/3/18 17:52,R_3qE7FiDFtChRdzN,40.79190063,-74.26399994,EN,3,2,3,2,2,3,2,2,2,3,2,2,3,3,2,3,2,2,2,2,47,4,2,3,2,3,2,3,1,4,3,2,4,2,3,3,4,4,2,4,3,36,22,1,,1,,1,2,31,project manager,6,1,1,2,,2,12199924,Mturk
5/3/18 17:50,5/3/18 17:52,73.74.29.241,155,5/3/18 17:52,R_2eOrYORnJsO9BUR,42.25579834,-88.99909973,EN,2,1,1,2,2,2,2,1,2,2,1,3,2,4,1,2,2,2,2,1,37,4,1,4,2,3,1,1,1,2,4,1,3,1,3,1,4,4,1,4,1,35,11,1,,1,,3,2,31,homemaker,2,6,3,2,,2,50381666,Mturk
5/3/18 17:49,5/3/18 17:52,162.243.163.141,204,5/3/18 17:52,R_3iQEGAoZoJxjjSI,40.79040527,-74.02459717,EN,3,3,4,3,2,2,2,3,4,3,1,4,3,4,1,3,3,2,2,3,55,4,1,1,1,3,1,1,1,2,1,1,4,1,3,1,4,4,1,4,1,30,10,1,,1,,1,2,33,secretary,3,3,2,2,,1,27853766,Mturk
